FILE NAME,SITE NAME,SITE CODE,COUNTRY,CONTRIBUTOR (ABBREVIATED),CONTRIBUTOR (FULL),CONTRIBUTOR WEBSITE,CONTRIBUTOR CONTACT,ORGINATOR,ORIGINATOR WEBSITE,ORIGINATOR CONTACT,LATITUDE,LONGITUDE,COORDINATE SYSTEM,START DATE/TIME,END DATE/TIME,NUMBER OF YEARS,TIME ZONE HOURS,DATUM INFORMATION,INSTRUMENT,PRECISION,NULL VALUE,GAUGE TYPE,OVERALL RECORD QUALITY
portland_me-252a-usa-uhslc,Portland_ME,252A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  43.65700000, -70.24700000,Unspecified,1910/03/04 05:00:00,2018/12/31 23:00:00,109,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
atlantic_city_nj-264a-usa-uhslc,Atlantic_City_NJ,264A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  39.35500000, -74.41800000,Unspecified,1911/08/19 05:00:00,2018/12/31 23:00:00,107,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
key_west_fl-242a-usa-uhslc,Key_West_FL,242A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  24.55300000, -81.80800000,Unspecified,1913/01/19 06:00:00,2018/12/31 23:00:00,106,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
cristobal-266a-pan-uhslc,Cristobal,266A,PAN,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Autoridad de Canal de Panama  Seccion de Meteorologia e Hidrologia  Division de Ingenieria  Panama Canal  Panama ,"Unspecified",Unspecified,   9.35500000, -79.91500000,Unspecified,1907/04/03 06:00:00,2017/12/31 23:00:00,105,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,Possible datum issues
cuxhaven-825a-deu-uhslc,Cuxhaven,825A,DEU,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, German Federal Institute of Hydrology (BfG)  Germany,"Unspecified",Unspecified,  53.86700000,   8.71700000,Unspecified,1917/12/29 09:00:00,2018/12/31 23:00:00,102,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
newlyn_cornwall-294a-gbr-uhslc,Newlyn_Cornwall,294A,GBR,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Oceanography Centre (NOC)  United Kingdom ,"Unspecified",Unspecified,  50.10200000,  -5.54200000,Unspecified,1915/04/22 10:00:00,2016/12/31 23:00:00,102,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
halifax-275a-can-uhslc,Halifax,275A,CAN,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Marine Environmental Data Service  Department of Fisheries and Oceans  Canada ,"Unspecified",Unspecified,  44.66700000, -63.58300000,Unspecified,1895/10/15 17:00:00,2014/08/13 20:00:00,99,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
boston_ma-741a-usa-uhslc,Boston_MA,741A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  42.35500000, -71.05200000,Unspecified,1921/05/03 05:00:00,2018/12/31 23:00:00,98,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
charleston_sc-261b-usa-uhslc,Charleston_SC,261B,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  32.78200000, -79.92500000,Unspecified,1921/10/01 05:00:00,2018/12/31 23:00:00,98,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
los_angeles_ca-567a-usa-uhslc,Los_Angeles_CA,567A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  33.72000000,-118.27200000,Unspecified,1923/11/29 00:00:00,2018/12/31 23:00:00,96,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
pensacola_fl-762a-usa-uhslc,Pensacola_FL,762A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  30.40300000, -87.21300000,Unspecified,1923/05/01 06:00:00,2018/12/31 23:00:00,96,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
new_york_ny-745a-usa-uhslc,New_York_NY,745A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  40.70000000, -74.01500000,Unspecified,1920/06/01 05:00:00,2018/12/31 23:00:00,95,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
astoria_or-572a-usa-uhslc,Astoria_OR,572A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  46.20800000,-123.76700000,Unspecified,1925/01/25 08:00:00,2018/12/31 23:00:00,94,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
la_jolla_ca-554a-usa-uhslc,La_Jolla_CA,554A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  32.86700000,-117.25700000,Unspecified,1924/10/02 08:00:00,2018/12/31 23:00:00,94,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
prince_rupert-540a-can-uhslc,Prince_Rupert,540A,CAN,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Marine Environmental Data Service  Department of Fisheries and Oceans  Canada ,"Unspecified",Unspecified,  54.31700000,-130.32300000,Unspecified,1909/01/01 09:00:00,2018/12/31 23:00:00,93,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
tregde-804a-nor-uhslc,Tregde,804A,NOR,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Norwegian Hydrographic Services (NHS)  Norway ,"Unspecified",Unspecified,  58.00000000,   7.56700000,Unspecified,1927/10/04 23:00:00,2018/12/31 23:00:00,92,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
tofino-542a-can-uhslc,Tofino,542A,CAN,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Marine Environmental Data Service  Department of Fisheries and Oceans  Canada ,"Unspecified",Unspecified,  49.15300000,-125.91300000,Unspecified,1909/10/01 20:00:00,2018/12/31 23:00:00,91,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
eastport_me-740a-usa-uhslc,Eastport_ME,740A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  44.90300000, -66.98500000,Unspecified,1929/09/12 05:00:00,2018/12/31 23:00:00,90,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
newport_ri-253a-usa-uhslc,Newport_RI,253A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  41.50500000, -71.32700000,Unspecified,1930/09/10 05:00:00,2018/12/31 23:00:00,89,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
neah_bay_wa-558a-usa-uhslc,Neah_Bay_WA,558A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  48.36800000,-124.61700000,Unspecified,1934/08/01 08:00:00,2018/12/31 23:00:00,85,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
lewes_de-747a-usa-uhslc,Lewes_DE,747A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  38.78200000, -75.12000000,Unspecified,1919/02/01 05:00:00,2018/12/31 23:00:00,85,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
wilmington_nc-750a-usa-uhslc,Wilmington_NC,750A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  34.22700000, -77.95300000,Unspecified,1935/12/28 05:00:00,2018/12/31 23:00:00,84,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
fort_pulaski_ga-752a-usa-uhslc,Fort_Pulaski_GA,752A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  32.03300000, -80.90200000,Unspecified,1935/07/01 05:00:00,2018/12/31 23:00:00,84,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
crescent_city_ca-556a-usa-uhslc,Crescent_City_CA,556A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  41.74500000,-124.18300000,Unspecified,1933/04/11 13:00:00,2018/12/31 23:00:00,83,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
sitka_ak-559a-usa-uhslc,Sitka_AK,559A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  57.05200000,-135.34200000,Unspecified,1938/05/20 01:00:00,2018/12/31 23:00:00,81,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
new_london_ct-744a-usa-uhslc,New_London_CT,744A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  41.35500000, -72.08700000,Unspecified,1938/06/12 05:00:00,2018/12/31 23:00:00,81,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
ketchikan_ak-571a-usa-uhslc,Ketchikan_AK,571A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  55.33300000,-131.62500000,Unspecified,1918/10/12 01:00:00,2018/12/31 23:00:00,79,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
hilo_hawaii-060a-usa-uhslc,Hilo_Hawaii,060A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  19.73300000,-155.06700000,Unspecified,1927/01/22 10:00:00,2018/12/31 23:00:00,79,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
la_coruna-830a-esp-uhslc,La_Coruna,830A,ESP,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Instituto Espanol de Oceanografia  ESP ,"Unspecified",Unspecified,  43.36700000,  -8.40000000,Unspecified,1943/03/01 00:00:00,2017/12/31 23:00:00,75,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
wellington-071a-nzl-uhslc,Wellington,071A,NZL,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Land Information New Zealand  New Zealand ,"Unspecified",Unspecified, -41.28300000, 174.78300000,Unspecified,1944/11/18 00:00:00,2018/12/31 11:00:00,75,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
ceuta-207a-esp-uhslc,Ceuta,207A,ESP,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Instituto Espanol de Oceanografia  ESP ,"Unspecified",Unspecified,  35.90000000,  -5.31700000,Unspecified,1944/03/01 00:00:00,2017/12/31 23:00:00,74,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
antofagasta-080a-chl-uhslc,Antofagasta,080A,CHL,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Servicio Hidrografico y Oceanografico de la Armada (SHOA)  CHL ,"Unspecified",Unspecified, -23.65300000, -70.40500000,Unspecified,1945/12/06 04:00:00,2018/12/31 23:00:00,74,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
mayport_fl-753a-usa-uhslc,Mayport_FL,753A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  30.39500000, -81.43200000,Unspecified,1928/04/26 05:00:00,2000/11/30 23:00:00,73,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
kwajalein-055a-mhl-uhslc,Kwajalein,055A,MHL,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,   8.73300000, 167.73300000,Unspecified,1946/06/07 13:00:00,2018/12/31 23:00:00,73,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
st_petersburg_fl-759a-usa-uhslc,St_Petersburg_FL,759A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  27.76000000, -82.62700000,Unspecified,1946/12/18 19:00:00,2018/12/31 23:00:00,73,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
port_isabel_tx-772a-usa-uhslc,Port_Isabel_TX,772A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  26.06000000, -97.21500000,Unspecified,1944/04/01 06:00:00,2018/12/31 23:00:00,73,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
midway-050a-usa-uhslc,Midway,050A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  28.21700000,-177.36700000,Unspecified,1947/02/08 04:00:00,2018/12/31 23:00:00,72,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
montauk_ny-279a-usa-uhslc,Montauk_NY,279A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  41.04800000, -71.96000000,Unspecified,1947/09/07 05:00:00,2018/12/31 23:00:00,72,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
pago_pago-056a-asm-uhslc,Pago_Pago,056A,ASM,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified, -14.28300000,-170.68300000,Unspecified,1948/09/08 11:00:00,2018/12/31 23:00:00,71,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
la_libertad-091a-ecu-uhslc,La_Libertad,091A,ECU,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Instituto Oceanografico de la Armada  Ecuador in collaboration with University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,  -2.20000000, -80.91700000,Unspecified,1949/09/01 05:00:00,2018/12/31 23:00:00,70,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
apra_harbor_guam-053a-usa-uhslc,Apra_Harbor_Guam,053A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, 1999\u2013present  University of Hawaii Sea Level Center (UHSLC)  USA; origination\u20131998  National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  13.43300000, 144.65000000,Unspecified,1948/03/10 05:00:00,2018/12/31 23:00:00,70,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
valparaiso-081a-chl-uhslc,Valparaiso,081A,CHL,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, Servicio Hidrografico y Oceanografico de la Armada (SHOA)  CHL ,"Unspecified",Unspecified, -33.02700000, -71.62700000,Unspecified,1944/01/02 04:00:00,2018/12/31 23:00:00,70,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
johnston-052a-usa-uhslc,Johnston,052A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,"Unspecified",Unspecified,  16.73800000,-169.53000000,Unspecified,1947/05/01 11:00:00,2018/12/31 23:00:00,69,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
kahului-059a-usa-uhslc,Kahului,059A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  20.90000000,-156.46700000,Unspecified,1950/10/19 02:00:00,2018/12/31 23:00:00,69,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
adak_alaska-040a-usa-uhslc,Adak_Alaska,040A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  51.86300000,-176.63200000,Unspecified,1950/03/17 01:00:00,2018/12/31 23:00:00,69,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
port_san_luis_ca-565a-usa-uhslc,Port_San_Luis_CA,565A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  35.17700000,-120.76000000,Unspecified,1948/01/01 08:00:00,2018/12/31 23:00:00,68,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
wake-051a-usa-uhslc,Wake,051A,USA,UHSLC,University of Hawaii Sea Level Center,"https://uhslc.soest.hawaii.edu",philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,"Unspecified",Unspecified,  19.28300000, 166.61700000,Unspecified,1950/05/30 12:00:00,2018/12/31 23:00:00,68,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
